date_utc,asset,close_binance,close_kraken,close_coinbase
2024-02-28,BTC,62432.1,62487.8,62518.9
2024-02-29,BTC,61130.98,61180.9,61179.03
2024-03-01,BTC,62387.9,62434.3,62436.72
2024-03-02,BTC,61987.28,62033.7,62045.78
2024-03-03,BTC,63113.97,63178.2,63154.49
2024-03-04,BTC,68245.71,68323.1,68360.14
2024-03-05,BTC,63724.01,63802.3,63800.78
2024-03-06,BTC,66074.04,66098.9,66122.28
2024-03-07,BTC,66823.17,66936.5,66938.21
2024-03-08,BTC,68124.19,68333.0,68289.16
2024-03-09,BTC,68313.27,68459.1,68480.0
2024-03-10,BTC,68955.88,69040.1,69032.12
2024-03-11,BTC,72078.1,72100.0,72110.98
2024-03-12,BTC,71452.01,71484.7,71475.93
2024-03-13,BTC,73072.41,73082.4,73135.04
2024-03-14,BTC,71388.94,71371.2,71364.58
2024-03-15,BTC,69499.85,69488.8,69506.88
2024-03-16,BTC,65300.63,65249.6,65254.22
2024-03-17,BTC,68393.48,68355.6,68343.64
2024-03-18,BTC,67609.99,67600.0,67613.04
2024-03-19,BTC,61937.4,61908.4,61906.27
2024-03-20,BTC,67840.51,67866.0,67858.8
2024-03-21,BTC,65501.27,65499.9,65484.7
2024-03-22,BTC,63796.64,63810.1,63814.56
2024-03-23,BTC,63990.01,64034.5,63998.86
2024-03-24,BTC,67209.99,67193.9,67204.93
2024-03-25,BTC,69880.01,69950.0,69890.28
2024-03-26,BTC,69988.0,70000.1,69992.4
2024-03-27,BTC,69469.99,69437.3,69435.96
2024-03-28,BTC,70780.6,70742.2,70801.18
2024-03-29,BTC,69850.54,69917.1,69903.75
2024-03-30,BTC,69582.18,69652.0,69626.87
2024-03-31,BTC,71280.01,71306.8,71288.9
2024-04-01,BTC,69649.8,69681.1,69681.82
2024-04-02,BTC,65463.99,65457.6,65464.14
2024-04-03,BTC,65963.28,65991.5,65987.92
2024-04-04,BTC,68487.79,68527.4,68525.23
2024-04-05,BTC,67820.62,67856.5,67856.51
2024-04-06,BTC,68896.0,68908.6,68919.89
2024-04-07,BTC,69360.39,69386.1,69350.34
2024-04-08,BTC,71620.0,71650.0,71622.53
2024-04-09,BTC,69146.0,69159.9,69117.01
2024-04-10,BTC,70631.08,70612.2,70634.04
2024-04-11,BTC,70006.23,70046.4,70020.73
2024-04-12,BTC,67116.52,67205.2,67148.61
2024-04-13,BTC,63924.51,64042.4,64024.77
2024-04-14,BTC,65661.84,65700.0,65777.05
2024-04-15,BTC,63419.99,63408.4,63452.18
2024-04-16,BTC,63793.39,63832.6,63814.94
2024-04-17,BTC,61277.37,61284.4,61279.36
2024-04-18,BTC,63470.08,63509.1,63513.85
2024-04-19,BTC,63818.01,63849.1,63848.37
2024-04-20,BTC,64940.59,64993.7,64968.87
2024-04-21,BTC,64941.15,64953.6,64952.92
2024-04-22,BTC,66819.32,66831.4,66859.17
2024-04-23,BTC,66414.0,66419.8,66414.16
2024-04-24,BTC,64289.59,64291.3,64255.78
2024-04-25,BTC,64498.34,64489.1,64484.44
2024-04-26,BTC,63770.01,63750.8,63742.39
2024-04-27,BTC,63461.98,63425.0,63422.0
2024-04-28,BTC,63118.62,63114.9,63108.94
2024-04-29,BTC,63866.0,63822.1,63844.85
2024-04-30,BTC,60672.0,60610.0,60622.1
2024-05-01,BTC,58364.97,58272.2,58265.59
2024-05-02,BTC,59060.61,59124.1,59071.89
2024-05-03,BTC,62882.01,62925.8,62913.03
2024-05-04,BTC,63892.04,63895.3,63902.88
2024-05-05,BTC,64012.0,64067.5,64023.45
2024-05-06,BTC,63165.19,63161.7,63162.24
2024-05-07,BTC,62312.08,62325.0,62315.76
2024-05-08,BTC,61193.03,61172.1,61169.53
